"","p1","v1","p2","v2","meq"
"342",50,-50,50,-100,-75
"343",99,150,1,-50,147
"344",1,150,99,-50,-40
"345",95,150,5,-50,140
"346",5,150,95,-50,-40
"347",90,150,10,-50,135
"348",10,150,90,-50,-25
"349",75,150,25,-50,25
"350",25,150,75,-50,-30
"351",50,150,50,-50,70
"352",99,-150,1,-50,-130
"353",1,-150,99,-50,-55
"354",95,-150,5,-50,-140
"355",5,-150,95,-50,-65
"356",90,-150,10,-50,-140
"357",10,-150,90,-50,-75
"358",75,-150,25,-50,-113
"359",25,-150,75,-50,-80
"360",50,-50,50,-150,-80
"361",99,-75,1,75,44
"362",1,-75,99,75,60
"363",95,-75,5,75,-65
"364",5,-75,95,75,65
"365",90,-75,10,75,-50
"366",10,-75,90,75,60
"367",75,-75,25,75,-50
"368",25,-75,75,75,50
"369",50,-75,50,75,10
"370",99,100,1,75,90
"371",1,100,99,75,80
"372",95,100,5,75,85
"373",5,100,95,75,85
"374",90,100,10,75,89
"375",10,100,90,75,85
"376",75,100,25,75,90
"377",25,100,75,75,85
"378",50,75,50,100,89
"379",99,-100,1,75,-90
"380",1,-100,99,75,50
"381",95,-100,5,75,-90
"382",5,-100,95,75,50
"383",90,-100,10,75,-90
"384",10,-100,90,75,60
"385",75,-100,25,75,-15
"386",25,-100,75,75,15
"387",50,-100,50,75,-12
"388",99,150,1,75,147
"389",1,150,99,75,80
"390",95,150,5,75,143
"391",5,150,95,75,90
"392",90,150,10,75,140
"393",10,150,90,75,85
"394",75,150,25,75,125
"395",25,150,75,75,100
"396",50,75,50,150,119
"397",99,-150,1,75,-140
"398",1,-150,99,75,25
"399",95,-150,5,75,-71
"400",5,-150,95,75,55
"401",90,-150,10,75,-140
"402",10,-150,90,75,65
"403",75,-150,25,75,-115
"404",25,-150,75,75,35
"405",50,-150,50,75,-15
"406",99,100,1,-75,90
"407",1,100,99,-75,-70
"408",95,100,5,-75,80
"409",5,100,95,-75,-60
"410",90,100,10,-75,85
"411",10,100,90,-75,-65
"412",75,100,25,-75,45
"413",25,100,75,-75,-20
"414",50,-75,50,100,25
"415",99,-100,1,-75,-95
"416",1,-100,99,-75,-85
"417",95,-100,5,-75,-94
"418",5,-100,95,-75,-80
"419",90,-100,10,-75,-85
"420",10,-100,90,-75,-80
"421",75,-100,25,-75,-90
"422",25,-100,75,-75,-85
"423",50,-100,50,-75,-89
"424",99,150,1,-75,146
"425",1,150,99,-75,44
"426",95,150,5,-75,51
"427",5,150,95,-75,-55
"428",90,150,10,-75,55
"429",10,150,90,-75,-50
"430",75,150,25,-75,50
"431",25,150,75,-75,-40
"432",50,-75,50,150,40
"433",99,-150,1,-75,-140
"434",1,-150,99,-75,-80
"435",95,-150,5,-75,-140
"436",5,-150,95,-75,-60
"437",90,-150,10,-75,-130
"438",10,-150,90,-75,-89
"439",75,-150,25,-75,-125
"440",25,-150,75,-75,-84
"441",50,-150,50,-75,-110
"442",99,-100,1,100,-90
"443",1,-100,99,100,90
"444",95,-100,5,100,-90
"445",5,-100,95,100,80
"446",90,-100,10,100,-90
"447",10,-100,90,100,90
"448",75,-100,25,100,-35
"449",25,-100,75,100,65
"450",50,100,50,-100,0
"451",99,150,1,100,140
"452",1,150,99,100,105
"453",95,150,5,100,140
"454",5,150,95,100,115
"455",90,150,10,100,140
"456",10,150,90,100,110
"457",75,150,25,100,135
"458",25,150,75,100,115
"459",50,150,50,100,125
"460",99,-150,1,100,-140
"461",1,-150,99,100,94
"462",95,-150,5,100,-140
"463",5,-150,95,100,90
"464",90,-150,10,100,-30
"465",10,-150,90,100,90
"466",75,-150,25,100,-100
"467",25,-150,75,100,60
"468",50,100,50,-150,10
"469",99,150,1,-100,100
"470",1,150,99,-100,-90
"471",95,150,5,-100,135
"472",5,150,95,-100,-85
"473",90,150,10,-100,140
"474",10,150,90,-100,-40
"475",75,150,25,-100,-15
"476",25,150,75,-100,-25
"477",50,150,50,-100,15
"478",99,-150,1,-100,-135
"479",1,-150,99,-100,-110
"480",95,-150,5,-100,-140
"481",5,-150,95,-100,-110
"482",90,-150,10,-100,-135
"483",10,-150,90,-100,-110
"484",75,-150,25,-100,-129
"485",25,-150,75,-100,-114
"486",50,-100,50,-150,-115
"487",99,-150,1,150,-30
"488",1,-150,99,150,145
"489",95,-150,5,150,-140
"490",5,-150,95,150,135
"491",90,-150,10,150,-135
"492",10,-150,90,150,140
"493",75,-150,25,150,-45
"494",25,-150,75,150,130
"495",50,-150,50,150,0
